Date,Value
08-Jan,101.4938
08-Feb,101.345
08-Mar,101.1798
08-Apr,100.9734
08-May,100.6927
08-Jun,100.3
08-Jul,99.76328
08-Aug,99.06566
08-Sep,98.22063
08-Oct,97.29108
08-Nov,96.40045
08-Dec,95.65045
09-Jan,95.1058
09-Feb,94.80436
09-Mar,94.76385
09-Apr,94.97404
09-May,95.36598
09-Jun,95.86834
09-Jul,96.41815
09-Aug,96.97379
09-Sep,97.50392
09-Oct,97.99049
09-Nov,98.43561
09-Dec,98.84422
10-Jan,99.19682
10-Feb,99.45857
10-Mar,99.63335
10-Apr,99.70435
10-May,99.68206
10-Jun,99.60666
10-Jul,99.54329
10-Aug,99.54194
10-Sep,99.61398
10-Oct,99.74545
10-Nov,99.92439
10-Dec,100.1136
11-Jan,100.2735
11-Feb,100.3691
11-Mar,100.3646
11-Apr,100.257
11-May,100.0576
11-Jun,99.78954
11-Jul,99.5036
11-Aug,99.26537
11-Sep,99.14151
11-Oct,99.16187
11-Nov,99.30663
11-Dec,99.52404
12-Jan,99.74104
12-Feb,99.89285
12-Mar,99.95245
12-Apr,99.92403
12-May,99.83114
12-Jun,99.71444
12-Jul,99.62434
12-Aug,99.58765
12-Sep,99.61899
12-Oct,99.69295
12-Nov,99.79173
12-Dec,99.91676
13-Jan,100.0613
13-Feb,100.2089
13-Mar,100.333
13-Apr,100.4483
13-May,100.5621
13-Jun,100.6517
13-Jul,100.7057
13-Aug,100.7364
13-Sep,100.7495
13-Oct,100.7548
13-Nov,100.7603
13-Dec,100.7538
14-Jan,100.7409
14-Feb,100.757
14-Mar,100.803
14-Apr,100.86
14-May,100.9098
14-Jun,100.9452
14-Jul,100.9619
14-Aug,100.9624
14-Sep,100.9491
14-Oct,100.9174
14-Nov,100.8661
14-Dec,100.7898
15-Jan,100.692
15-Feb,100.582
15-Mar,100.4742
15-Apr,100.369
15-May,100.2582
15-Jun,100.1356
15-Jul,99.97927
15-Aug,99.79948
15-Sep,99.62511
15-Oct,99.4806
15-Nov,99.35812
15-Dec,99.25134
16-Jan,99.16517
16-Feb,99.10695
16-Mar,99.08766
16-Apr,99.08824
16-May,99.09283
16-Jun,99.09475
16-Jul,99.11254
16-Aug,99.15833
16-Sep,99.24667
16-Oct,99.37237
16-Nov,99.5194
16-Dec,99.66693
17-Jan,99.78472
17-Feb,99.86109
17-Mar,99.89697
17-Apr,99.90789
17-May,99.9143
17-Jun,99.93136
17-Jul,99.96501
17-Aug,100.0407
17-Sep,100.1505
17-Oct,100.282
17-Nov,100.4172
17-Dec,100.5517
18-Jan,100.6852
18-Feb,100.8063
18-Mar,100.8827
18-Apr,100.9074
18-May,100.8896
18-Jun,100.8406
18-Jul,100.7634
18-Aug,100.6609
18-Sep,100.5185
18-Oct,100.3314
18-Nov,100.1171
18-Dec,99.89809
19-Jan,99.6959
19-Feb,99.52789
19-Mar,99.39293
19-Apr,99.26884
19-May,99.15285
19-Jun,99.04795
19-Jul,98.96175
19-Aug,98.90572
19-Sep,98.90633
19-Oct,98.9587
19-Nov,99.03992
19-Dec,99.11726
20-Jan,99.15172
20-Feb,99.11379
20-Mar,97.70631
20-Apr,92.78128
20-May,94.33533
20-Jun,96.19972
20-Jul,97.80932
20-Aug,98.50352
20-Sep,98.80223
20-Oct,99.16948
20-Nov,99.56815
20-Dec,99.98238
21-Jan,100.3463
21-Feb,100.7042
21-Mar,101.0106
21-Apr,101.2609
21-May,101.3235
21-Jun,101.324
21-Jul,101.2793
21-Aug,101.2177
21-Sep,101.1714
21-Oct,101.1434
21-Nov,101.1207
21-Dec,101.0752
22-Jan,100.9829
22-Feb,100.8373
22-Mar,100.6289
22-Apr,100.3607
22-May,100.0422
22-Jun,99.72228
22-Jul,99.45039
22-Aug,99.24092
22-Sep,99.07808
22-Oct,98.94864
22-Nov,98.84549
22-Dec,98.77307
23-Jan,98.72445
23-Feb,98.68138
23-Mar,98.65257
23-Apr,98.66039
23-May,98.7099
23-Jun,98.79851
23-Jul,98.8939
23-Aug,98.97197
23-Sep,99.03122
23-Oct,99.08224
23-Nov,99.15386
23-Dec,99.26002
24-Jan,99.39182
24-Feb,99.52892
24-Mar,99.64421
24-Apr,99.71311
24-May,99.74095
24-Jun,99.75504
24-Jul,99.79372
24-Aug,99.87848
24-Sep,100.0104
24-Oct,100.1684
24-Nov,100.3267
24-Dec,100.4472
25-Jan,100.4989
25-Feb,100.4812
25-Mar,100.4127
25-Apr,100.3328
25-May,100.2888
